City,Property_Type,BHK,Size_in_SqFt,Age_of_Property,Furnished_Status,Public_Transport,Nearby_Schools,Nearby_Hospitals,Parking,Security,Price_in_Lakhs,Good_Investment
Pune,Apartment,3,1298,15,Fully-Furnished,Low,10.0,6,Yes,No,108.76,0
Indore,Apartment,2,961,33,Unfurnished,High,8.0,3,No,Yes,27.21,1
Bangalore,Apartment,5,2302,31,Unfurnished,High,9.0,1,No,Yes,233.18,0
Indore,Apartment,3,1615,25,Unfurnished,Low,2.0,8,No,Yes,60.33,0
Mumbai,Apartment,1,611,24,Fully-Furnished,Low,1.0,6,Yes,Yes,143.67,0
Bangalore,Independent House,2,1043,1,Semi-Furnished,Low,3.0,0,No,Yes,62.01,1
Mumbai,Independent House,3,1623,11,Semi-Furnished,Low,4.0,7,Yes,No,317.73,1
Jaipur,Apartment,2,930,39,Unfurnished,High,1.0,2,No,Yes,34.22,1
Delhi,Villa,3,1391,8,Unfurnished,Medium,0.0,3,Yes,Yes,215.77,0
Indore,Apartment,3,1630,11,Fully-Furnished,High,9.0,4,Yes,Yes,83.61,0
Delhi,Villa,1,400,25,Unfurnished,High,10.0,0,Yes,No,65.69,0
Delhi,Villa,3,1207,8,Semi-Furnished,Medium,4.0,5,Yes,Yes,118.09,1
Indore,Apartment,3,1222,9,Fully-Furnished,Medium,8.0,5,Yes,Yes,45.56,0
Bangalore,Apartment,2,1085,31,Unfurnished,Low,4.0,1,Yes,Yes,80.4,1
Jaipur,Apartment,3,1371,33,Semi-Furnished,Medium,10.0,5,Yes,Yes,58.42,0
Mumbai,Apartment,3,1513,19,Unfurnished,Medium,9.0,7,No,No,330.38,0
Pune,Independent House,3,1307,38,Semi-Furnished,Low,8.0,5,Yes,Yes,91.65,1
Mumbai,Apartment,2,1100,1,Unfurnished,Low,9.0,3,Yes,Yes,206.68,1
Pune,Independent House,3,1503,0,Semi-Furnished,High,5.0,3,No,Yes,133.8,0
Mumbai,Independent House,3,1270,35,Unfurnished,Medium,2.0,8,Yes,Yes,199.89,1
Indore,Apartment,2,1158,23,Semi-Furnished,Medium,3.0,5,Yes,Yes,35.75,1
Jaipur,Villa,2,725,26,Semi-Furnished,Medium,3.0,7,Yes,No,24.6,1
Pune,Villa,1,625,1,Unfurnished,High,0.0,7,Yes,Yes,47.7,1
Bangalore,Independent House,1,718,30,Semi-Furnished,Medium,2.0,6,Yes,Yes,61.69,1
Mumbai,Independent House,3,1361,13,Unfurnished,Low,2.0,2,Yes,Yes,267.15,1
Mumbai,Villa,3,1218,1,Semi-Furnished,High,0.0,0,No,No,260.05,0
Pune,Apartment,1,658,28,Unfurnished,Medium,8.0,4,Yes,No,34.59,1
Bangalore,Villa,3,1508,14,Semi-Furnished,Low,10.0,1,Yes,No,123.65,1
Bangalore,Apartment,4,1800,11,Unfurnished,Medium,0.0,1,No,Yes,195.17,0
Indore,Villa,2,1011,36,Unfurnished,High,8.0,6,Yes,Yes,34.27,1
Indore,Independent House,1,554,27,Unfurnished,Low,0.0,2,Yes,Yes,19.76,1
Indore,Apartment,2,966,19,Semi-Furnished,Medium,1.0,7,No,Yes,36.92,0
Indore,Apartment,3,1592,38,Unfurnished,Low,1.0,8,Yes,Yes,46.3,1
Indore,Apartment,3,1469,23,Fully-Furnished,High,5.0,7,No,Yes,47.73,1
Indore,Apartment,2,881,20,Fully-Furnished,Low,6.0,5,Yes,Yes,30.98,1
Jaipur,Apartment,4,1858,9,Unfurnished,Medium,10.0,4,No,Yes,72.75,1
Bangalore,Villa,4,1789,13,Semi-Furnished,High,0.0,2,Yes,No,217.18,0
Indore,Independent House,2,957,36,Unfurnished,Low,2.0,2,Yes,Yes,29.29,1
Bangalore,Independent House,2,953,17,Unfurnished,High,1.0,6,Yes,No,104.63,0
Bangalore,Apartment,2,1013,23,Semi-Furnished,High,7.0,4,No,Yes,109.98,0
Delhi,Independent House,2,1047,13,Semi-Furnished,High,8.0,5,No,No,143.37,1
Jaipur,Villa,3,1630,33,Semi-Furnished,Low,1.0,5,Yes,Yes,58.69,1
Indore,Apartment,3,1420,11,Unfurnished,Medium,1.0,8,No,Yes,66.46,0
Mumbai,Apartment,3,1601,21,Unfurnished,High,9.0,0,Yes,No,360.55,0
Pune,Apartment,3,1519,5,Unfurnished,High,8.0,7,Yes,Yes,145.46,0
Mumbai,Independent House,4,1936,35,Semi-Furnished,Low,3.0,4,Yes,Yes,381.63,1
Jaipur,Apartment,2,826,35,Semi-Furnished,High,4.0,5,No,No,35.7,0
Pune,Villa,3,1402,21,Semi-Furnished,Medium,10.0,5,No,Yes,118.32,0
Jaipur,Apartment,1,400,13,Unfurnished,Low,8.0,0,Yes,No,16.48,0
Bangalore,Villa,2,723,15,Unfurnished,Medium,5.0,2,No,No,59.32,1
Pune,Apartment,3,1220,35,Unfurnished,High,9.0,5,Yes,Yes,74.43,1
Bangalore,Apartment,3,1417,24,Unfurnished,Medium,8.0,8,Yes,No,83.13,1
Mumbai,Apartment,3,1209,31,Unfurnished,Medium,8.0,5,Yes,No,205.81,1
Mumbai,Apartment,2,1023,32,Fully-Furnished,High,6.0,5,No,Yes,234.37,0
Pune,Independent House,2,1094,35,Fully-Furnished,Medium,9.0,0,Yes,Yes,85.22,1
Pune,Apartment,4,1798,19,Semi-Furnished,Medium,8.0,8,Yes,Yes,155.74,0
Indore,Villa,2,1096,17,Semi-Furnished,Medium,4.0,3,Yes,Yes,40.56,1
Jaipur,Apartment,4,1950,37,Unfurnished,Medium,4.0,1,Yes,No,96.14,0
Indore,Apartment,3,1568,2,Fully-Furnished,Medium,7.0,0,Yes,Yes,90.51,0
Jaipur,Apartment,3,1433,22,Unfurnished,High,9.0,2,Yes,Yes,46.69,1
Indore,Apartment,2,773,31,Fully-Furnished,Medium,3.0,2,No,Yes,30.97,0
Bangalore,Independent House,3,1624,15,Semi-Furnished,High,8.0,4,Yes,No,182.34,0
Pune,Apartment,2,1052,4,Unfurnished,Low,6.0,0,Yes,Yes,56.51,1
Mumbai,Independent House,2,772,3,Fully-Furnished,Low,6.0,6,No,No,181.9,0
Jaipur,Independent House,3,1455,20,Unfurnished,Medium,2.0,0,Yes,No,62.09,0
Jaipur,Apartment,1,695,39,Semi-Furnished,Low,3.0,3,No,Yes,23.88,1
Mumbai,Apartment,2,945,13,Semi-Furnished,Medium,6.0,5,Yes,Yes,212.92,0
Indore,Villa,3,1246,38,Unfurnished,Medium,10.0,0,Yes,Yes,38.93,1
Jaipur,Independent House,4,2137,30,Unfurnished,Low,10.0,6,Yes,No,82.81,1
Bangalore,Independent House,2,975,13,Semi-Furnished,Medium,4.0,6,No,No,110.5,0
Pune,Apartment,2,1067,5,Semi-Furnished,Medium,,2,No,Yes,103.05,0
Mumbai,Villa,3,1543,11,Unfurnished,Medium,0.0,3,Yes,Yes,372.95,0
Pune,Apartment,2,755,15,Fully-Furnished,High,6.0,5,Yes,Yes,59.44,0
Jaipur,Independent House,3,1427,16,Unfurnished,Medium,5.0,6,Yes,No,75.7,0
Jaipur,Independent House,4,1732,22,Unfurnished,Medium,9.0,3,Yes,Yes,70.85,1
Mumbai,Apartment,2,1127,13,Unfurnished,High,6.0,8,Yes,No,232.42,0
Bangalore,Apartment,3,1660,6,Unfurnished,High,1.0,8,Yes,Yes,174.41,0
Delhi,Apartment,3,1367,31,Unfurnished,Low,3.0,8,Yes,Yes,145.61,1
Mumbai,Apartment,2,958,14,Fully-Furnished,Low,,5,Yes,Yes,209.67,0
Delhi,Independent House,2,1171,16,Unfurnished,Medium,7.0,1,No,Yes,165.96,0
Indore,Apartment,2,1098,40,Unfurnished,Medium,6.0,1,Yes,Yes,29.94,1
Delhi,Apartment,3,1215,33,Unfurnished,High,0.0,3,Yes,Yes,161.55,1
Bangalore,Apartment,3,1311,4,Semi-Furnished,High,1.0,8,Yes,No,123.35,0
Indore,Independent House,3,1485,26,Fully-Furnished,Medium,1.0,2,Yes,Yes,50.19,1
Delhi,Apartment,3,1453,22,Unfurnished,High,3.0,5,No,Yes,173.33,1
Indore,Apartment,1,400,39,Unfurnished,Medium,2.0,1,Yes,Yes,11.57,1
Delhi,Apartment,3,1211,13,Unfurnished,Low,0.0,0,Yes,Yes,145.96,1
Bangalore,Independent House,1,646,14,Unfurnished,High,1.0,4,Yes,Yes,65.03,0
Delhi,Independent House,2,1140,32,Unfurnished,Medium,10.0,7,No,No,160.89,0
Delhi,Apartment,2,1200,30,Unfurnished,High,8.0,1,Yes,Yes,175.24,0
Delhi,Apartment,3,1640,34,Unfurnished,High,0.0,8,Yes,Yes,242.33,0
Mumbai,Apartment,3,1238,16,Semi-Furnished,Medium,8.0,7,Yes,Yes,292.97,0
Mumbai,Apartment,3,1354,27,Unfurnished,Medium,6.0,2,Yes,Yes,214.92,1
Mumbai,Apartment,3,1567,18,Fully-Furnished,Medium,1.0,0,Yes,Yes,327.15,0
Bangalore,Independent House,4,1741,22,Fully-Furnished,Medium,1.0,3,Yes,No,203.71,0
Indore,Apartment,3,1201,31,Semi-Furnished,Medium,4.0,7,No,Yes,37.71,1
Jaipur,Independent House,3,1288,39,Unfurnished,Medium,4.0,2,No,Yes,56.74,0
Delhi,Apartment,3,1254,12,Unfurnished,High,3.0,1,Yes,No,176.72,0
Delhi,Villa,2,1033,19,Unfurnished,Medium,9.0,6,Yes,Yes,95.12,1
Bangalore,Villa,2,942,34,Semi-Furnished,Low,9.0,3,Yes,Yes,68.42,1
Delhi,Apartment,1,400,4,Semi-Furnished,Medium,2.0,5,Yes,Yes,69.3,0
Mumbai,Apartment,2,819,8,Fully-Furnished,High,3.0,4,Yes,Yes,259.26,0
Jaipur,Apartment,1,539,28,Fully-Furnished,Medium,9.0,1,Yes,Yes,17.59,1
Pune,Apartment,4,1752,5,Unfurnished,Medium,3.0,1,Yes,No,162.4,0
Delhi,Apartment,3,1325,24,Semi-Furnished,High,1.0,8,Yes,No,218.77,0
Mumbai,Apartment,2,1200,30,Unfurnished,Medium,4.0,1,Yes,No,258.74,0
Pune,Independent House,2,963,21,Unfurnished,Medium,4.0,7,Yes,Yes,42.92,1
Jaipur,Apartment,3,1262,1,Unfurnished,High,4.0,7,Yes,No,76.12,0
Pune,Independent House,2,911,4,Unfurnished,Low,10.0,0,No,Yes,76.55,0
Mumbai,Apartment,3,1320,26,Fully-Furnished,High,10.0,0,Yes,Yes,316.87,0
Indore,Villa,3,1348,24,Unfurnished,Low,9.0,3,No,Yes,50.68,0
Indore,Apartment,2,905,7,Semi-Furnished,Low,0.0,1,Yes,Yes,24.19,1
Pune,Independent House,2,898,0,Semi-Furnished,High,5.0,0,No,No,99.74,0
Bangalore,Apartment,3,1635,19,Semi-Furnished,Low,10.0,8,Yes,Yes,186.18,0
Pune,Apartment,3,1229,22,Unfurnished,High,1.0,2,No,No,77.82,1
Delhi,Apartment,2,938,31,Fully-Furnished,High,6.0,0,Yes,No,137.2,0
Delhi,Apartment,2,1102,10,Semi-Furnished,High,3.0,1,Yes,No,177.19,0
Indore,Apartment,2,846,38,Unfurnished,High,4.0,7,Yes,Yes,29.72,1
Bangalore,Apartment,3,1223,23,Unfurnished,Medium,4.0,4,Yes,Yes,106.55,0
Mumbai,Apartment,3,1583,10,Semi-Furnished,High,4.0,6,Yes,No,333.84,0
Delhi,Independent House,3,1239,28,Fully-Furnished,Low,1.0,5,Yes,Yes,165.51,1
Indore,Apartment,5,2195,25,Semi-Furnished,Medium,4.0,0,Yes,No,98.86,0
Jaipur,Apartment,3,1419,15,Fully-Furnished,High,2.0,5,Yes,Yes,74.57,0
Indore,Villa,3,1342,34,Semi-Furnished,Medium,3.0,6,Yes,Yes,47.34,1
Delhi,Apartment,2,887,19,Unfurnished,Medium,1.0,3,Yes,Yes,105.25,1
Delhi,Apartment,2,1155,2,Unfurnished,Medium,3.0,7,Yes,No,205.55,0
Indore,Apartment,2,938,0,Unfurnished,Medium,8.0,7,No,Yes,36.3,0
Mumbai,Independent House,1,400,0,Semi-Furnished,High,7.0,6,No,Yes,69.1,1
Pune,Independent House,3,1640,16,Semi-Furnished,Low,10.0,1,No,Yes,133.63,0
Delhi,Independent House,2,1045,1,Unfurnished,Medium,2.0,5,No,Yes,172.33,0
Indore,Apartment,2,946,28,Semi-Furnished,High,0.0,5,Yes,Yes,34.1,1
Indore,Villa,3,1334,19,Unfurnished,Medium,0.0,6,No,Yes,31.45,1
Bangalore,Apartment,3,1455,5,Unfurnished,Low,5.0,5,Yes,Yes,106.05,1
Pune,Apartment,2,1122,7,Unfurnished,Medium,2.0,1,Yes,Yes,89.79,0
Jaipur,Apartment,3,1249,28,Unfurnished,Medium,3.0,7,No,Yes,44.02,1
Mumbai,Apartment,3,1548,32,Unfurnished,Low,0.0,3,Yes,Yes,278.73,1
Jaipur,Apartment,2,1106,2,Unfurnished,High,7.0,8,Yes,Yes,57.82,0
Pune,Apartment,3,1371,34,Unfurnished,Medium,0.0,7,Yes,Yes,86.7,1
Pune,Apartment,1,586,4,Unfurnished,High,4.0,2,Yes,Yes,41.49,1
Pune,Apartment,2,753,26,Semi-Furnished,High,5.0,2,Yes,Yes,74.61,0
Jaipur,Villa,3,1492,11,Unfurnished,Medium,1.0,7,Yes,Yes,67.98,0
Pune,Apartment,2,733,19,Fully-Furnished,Low,6.0,1,Yes,Yes,64.65,0
Indore,Villa,3,1344,19,Unfurnished,Medium,6.0,8,Yes,Yes,50.38,0
Jaipur,Apartment,2,1191,8,Unfurnished,Low,0.0,3,Yes,Yes,56.45,0
Pune,Independent House,2,1104,38,Unfurnished,High,3.0,5,Yes,Yes,73.77,1
Indore,Apartment,2,919,3,Unfurnished,Low,,2,No,No,38.55,0
Bangalore,Apartment,3,1614,18,Fully-Furnished,Medium,4.0,2,Yes,Yes,168.54,0
Pune,Apartment,4,1942,37,Unfurnished,Medium,0.0,2,No,Yes,140.66,1
Jaipur,Apartment,3,1370,26,Fully-Furnished,Medium,0.0,1,Yes,Yes,47.83,1
Delhi,Independent House,3,1379,12,Fully-Furnished,Low,6.0,7,Yes,Yes,208.5,0
Pune,Apartment,2,977,12,Semi-Furnished,Medium,,8,Yes,Yes,85.62,0
Delhi,Apartment,2,772,21,,Low,0.0,7,Yes,No,127.9,0
Indore,Independent House,3,1234,27,Semi-Furnished,Low,1.0,2,Yes,Yes,41.88,1
Bangalore,Villa,2,861,21,Unfurnished,Medium,5.0,6,Yes,No,83.09,0
Mumbai,Apartment,1,541,18,Semi-Furnished,High,5.0,1,Yes,Yes,93.55,1
Bangalore,Apartment,3,1571,7,Unfurnished,Medium,1.0,3,Yes,No,127.61,1
Pune,Apartment,3,1591,7,Unfurnished,Medium,8.0,5,Yes,No,138.09,0
Delhi,Apartment,2,906,25,Semi-Furnished,Medium,3.0,4,No,Yes,129.12,0
Delhi,Apartment,3,1348,25,Semi-Furnished,Medium,6.0,8,Yes,Yes,161.06,1
Jaipur,Independent House,3,1651,22,Fully-Furnished,High,5.0,3,No,Yes,89.19,0
Delhi,Apartment,3,1332,12,Unfurnished,Low,10.0,4,No,No,171.72,1
Jaipur,Apartment,2,773,27,Fully-Furnished,Medium,10.0,3,Yes,Yes,31.71,1
Indore,Apartment,2,1157,8,Unfurnished,High,2.0,7,No,Yes,47.02,0
Mumbai,Independent House,4,1781,19,Unfurnished,High,7.0,7,No,Yes,450.21,0
Pune,Independent House,3,1349,18,Unfurnished,Low,6.0,2,Yes,Yes,113.04,0
Jaipur,Apartment,3,1466,38,Unfurnished,Medium,8.0,0,Yes,No,65.31,0
Mumbai,Villa,3,1387,11,Unfurnished,High,2.0,5,Yes,No,333.22,0
Delhi,Apartment,2,908,14,Semi-Furnished,Low,0.0,1,Yes,Yes,160.49,0
Delhi,Apartment,2,1002,30,Fully-Furnished,High,1.0,1,Yes,Yes,154.4,0
Mumbai,Apartment,3,1386,13,Unfurnished,High,10.0,2,No,Yes,297.87,0
Delhi,Apartment,3,1577,10,Semi-Furnished,High,0.0,7,No,No,235.58,0
Indore,Apartment,4,1690,25,Fully-Furnished,Low,10.0,2,Yes,No,59.52,1
Indore,Independent House,2,907,26,Semi-Furnished,High,4.0,6,Yes,Yes,34.06,0
Mumbai,Apartment,3,1423,10,Semi-Furnished,Medium,9.0,8,No,Yes,277.21,1
Jaipur,Independent House,4,1725,37,Unfurnished,High,1.0,7,Yes,No,59.45,1
Jaipur,Apartment,2,855,33,Fully-Furnished,Low,2.0,0,Yes,Yes,35.82,0
Mumbai,Apartment,4,1845,18,Semi-Furnished,Low,7.0,6,Yes,Yes,334.72,1
Jaipur,Apartment,4,1906,5,Unfurnished,Medium,9.0,6,Yes,Yes,61.98,1
Jaipur,Apartment,5,2300,37,Unfurnished,Low,4.0,7,Yes,Yes,56.4,1
Indore,Apartment,3,1342,27,Fully-Furnished,Medium,3.0,4,Yes,Yes,34.53,1
Jaipur,Apartment,3,1345,0,Unfurnished,High,4.0,8,Yes,No,51.47,1
Bangalore,Apartment,3,1581,34,Fully-Furnished,Medium,9.0,8,Yes,Yes,109.8,1
Pune,Apartment,3,1569,39,Unfurnished,High,5.0,7,Yes,Yes,94.21,1
Delhi,Villa,4,1701,7,Semi-Furnished,Low,6.0,5,Yes,Yes,254.28,0
Bangalore,Apartment,3,1564,6,Unfurnished,Low,8.0,5,No,No,110.11,1
Jaipur,Apartment,3,1208,10,Semi-Furnished,Low,0.0,0,Yes,Yes,43.94,1
Indore,Apartment,4,1739,38,Fully-Furnished,Medium,3.0,5,Yes,Yes,43.62,1
Mumbai,Independent House,2,821,3,,High,8.0,3,Yes,Yes,172.58,0
Jaipur,Villa,3,1252,24,Semi-Furnished,Low,4.0,3,Yes,No,53.33,0
Indore,Apartment,4,1875,11,Unfurnished,Medium,7.0,1,No,Yes,69.8,0
Pune,Apartment,2,750,25,Unfurnished,Medium,0.0,3,Yes,Yes,54.85,1
Jaipur,Apartment,2,979,37,Unfurnished,High,3.0,4,Yes,Yes,37.01,1
Mumbai,Independent House,3,1519,11,Semi-Furnished,Low,8.0,4,No,Yes,251.34,1
Indore,Villa,3,1408,36,Unfurnished,Low,0.0,4,Yes,No,39.38,1
Indore,Apartment,2,900,23,Unfurnished,Low,0.0,3,Yes,Yes,30.46,1
Indore,Apartment,2,1084,15,,Medium,3.0,0,Yes,Yes,45.2,0
Pune,Apartment,2,778,12,Semi-Furnished,Medium,2.0,7,No,Yes,67.95,0
Jaipur,Independent House,3,1642,24,Semi-Furnished,High,6.0,2,Yes,Yes,81.2,0
Pune,Apartment,2,1148,3,Unfurnished,Medium,10.0,1,No,Yes,80.21,1
Delhi,Apartment,4,1967,10,Unfurnished,Medium,2.0,8,Yes,No,214.8,1
Delhi,Apartment,3,1282,31,Fully-Furnished,Medium,0.0,6,Yes,Yes,129.23,1
Jaipur,Villa,2,1162,6,Unfurnished,Low,10.0,8,No,Yes,53.76,0
Pune,Villa,2,1123,10,Fully-Furnished,Medium,9.0,1,Yes,No,78.79,1
Mumbai,Villa,2,1152,27,Fully-Furnished,High,1.0,8,No,Yes,297.81,0
Indore,Apartment,3,1294,40,Semi-Furnished,High,9.0,8,No,Yes,41.62,1
Indore,Independent House,5,2255,22,Unfurnished,High,3.0,8,No,No,105.72,0
Jaipur,Apartment,2,1114,22,,High,0.0,3,Yes,No,49.09,0
Delhi,Apartment,2,1127,27,Semi-Furnished,Low,0.0,2,Yes,Yes,132.96,1
Delhi,Apartment,3,1276,25,Semi-Furnished,Low,7.0,5,No,No,163.91,1
Indore,Independent House,4,1686,24,Unfurnished,Low,6.0,2,Yes,Yes,51.43,1
Jaipur,Apartment,1,682,28,Unfurnished,Medium,7.0,8,Yes,Yes,27.14,1
Pune,Villa,3,1432,18,Unfurnished,Low,3.0,2,Yes,Yes,86.98,1
Delhi,Villa,2,923,32,Semi-Furnished,Medium,5.0,1,Yes,No,120.74,1
Pune,Apartment,3,1471,35,Semi-Furnished,Medium,2.0,7,Yes,Yes,92.04,1
Delhi,Apartment,2,1052,13,Unfurnished,High,10.0,5,Yes,Yes,152.29,0
Delhi,Apartment,1,400,13,Semi-Furnished,High,7.0,7,Yes,No,49.79,1
Bangalore,Apartment,3,1398,34,Unfurnished,High,3.0,6,Yes,Yes,129.11,0
Delhi,Apartment,3,1394,29,Semi-Furnished,Low,2.0,2,Yes,Yes,163.09,1
Mumbai,Apartment,2,1018,27,Fully-Furnished,Low,3.0,7,No,Yes,227.13,0
Jaipur,Independent House,2,995,16,Unfurnished,Medium,5.0,0,No,Yes,36.0,1
Jaipur,Independent House,2,725,2,Unfurnished,Medium,10.0,0,Yes,Yes,32.19,0
Pune,Apartment,3,1559,15,Unfurnished,Medium,6.0,7,Yes,Yes,137.34,0
Delhi,Apartment,3,1603,29,Semi-Furnished,Medium,6.0,8,Yes,Yes,171.77,1
Mumbai,Apartment,2,898,28,Semi-Furnished,Medium,3.0,5,Yes,Yes,149.75,1
Pune,Villa,2,1034,14,Fully-Furnished,Medium,7.0,4,No,Yes,101.13,0
Bangalore,Independent House,3,1225,24,Unfurnished,Medium,6.0,1,No,Yes,119.75,0
Pune,Apartment,4,2158,37,Fully-Furnished,Medium,1.0,8,No,Yes,160.22,1
Pune,Apartment,3,1468,37,,Medium,7.0,5,Yes,Yes,82.96,1
Delhi,Villa,2,873,22,Semi-Furnished,Medium,8.0,7,Yes,Yes,113.66,1
Bangalore,Apartment,3,1372,24,Unfurnished,Medium,4.0,8,Yes,No,144.54,0
Pune,Apartment,1,699,6,Fully-Furnished,Low,3.0,8,Yes,No,48.75,1
Mumbai,Apartment,3,1537,21,Semi-Furnished,Medium,3.0,7,Yes,Yes,334.89,0
Mumbai,Apartment,4,1920,16,Semi-Furnished,High,3.0,7,Yes,Yes,441.17,0
Jaipur,Apartment,4,1922,17,Fully-Furnished,High,5.0,2,Yes,Yes,77.65,1
Bangalore,Villa,3,1544,40,Unfurnished,Medium,10.0,2,Yes,Yes,106.23,1
Bangalore,Independent House,2,1017,9,Unfurnished,Low,3.0,1,Yes,No,63.32,1
Jaipur,Apartment,2,730,9,Fully-Furnished,Medium,6.0,0,Yes,Yes,36.31,0
Pune,Independent House,1,690,6,Unfurnished,Medium,6.0,3,No,Yes,60.21,0
Bangalore,Apartment,1,400,37,Unfurnished,Medium,4.0,1,Yes,No,23.51,1
Mumbai,Villa,3,1528,26,Semi-Furnished,Medium,4.0,1,Yes,Yes,322.78,0
Mumbai,Apartment,3,1209,32,Semi-Furnished,Medium,9.0,4,Yes,Yes,203.14,1
Delhi,Independent House,3,1614,0,,Medium,7.0,3,No,Yes,214.66,1
Bangalore,Independent House,4,1821,33,Unfurnished,High,6.0,0,Yes,Yes,127.92,1
Pune,Apartment,3,1290,3,Unfurnished,Low,6.0,8,No,Yes,112.44,0
Jaipur,Independent House,3,1308,16,Unfurnished,High,5.0,3,Yes,No,43.04,1
Jaipur,Independent House,2,1064,3,Fully-Furnished,Low,6.0,4,No,Yes,38.1,1
Pune,Villa,2,1112,25,Fully-Furnished,Low,6.0,6,Yes,Yes,77.89,1
Indore,Apartment,3,1541,3,Semi-Furnished,High,9.0,1,Yes,No,62.9,0
Delhi,Independent House,2,1180,0,Unfurnished,High,1.0,7,Yes,Yes,209.13,0
Jaipur,Independent House,2,1122,6,Fully-Furnished,Low,9.0,1,Yes,Yes,51.08,0
Bangalore,Apartment,3,1243,29,,Medium,1.0,4,No,Yes,101.04,1
Delhi,Independent House,3,1605,8,Unfurnished,Low,9.0,1,Yes,Yes,164.83,1
Bangalore,Apartment,2,973,34,Fully-Furnished,Medium,6.0,1,Yes,Yes,79.56,1
Mumbai,Apartment,3,1223,7,Semi-Furnished,High,9.0,3,No,No,186.73,1
Delhi,Apartment,3,1348,23,Semi-Furnished,High,6.0,3,Yes,Yes,204.69,0
Jaipur,Apartment,4,1714,18,Semi-Furnished,Medium,6.0,7,No,Yes,79.58,0
Delhi,Apartment,2,1154,35,Unfurnished,Medium,4.0,5,Yes,Yes,120.76,1
Delhi,Apartment,2,963,26,Unfurnished,Medium,0.0,7,No,No,128.78,1
Delhi,Independent House,2,1056,31,Semi-Furnished,Medium,1.0,6,Yes,Yes,126.47,1
Indore,Apartment,3,1671,13,Unfurnished,High,8.0,3,Yes,No,78.86,0
Delhi,Apartment,4,2063,17,,High,7.0,1,Yes,Yes,310.38,0
Bangalore,Apartment,2,724,27,Semi-Furnished,Medium,,8,Yes,No,51.09,1
Mumbai,Apartment,2,812,28,Semi-Furnished,Medium,9.0,1,Yes,No,183.47,0
Pune,Independent House,2,1182,15,Semi-Furnished,Medium,0.0,0,Yes,No,107.91,0
Delhi,Villa,3,1294,34,Semi-Furnished,Low,5.0,7,No,Yes,144.59,1
Jaipur,Independent House,3,1565,30,Fully-Furnished,High,8.0,8,No,Yes,75.04,0
Delhi,Apartment,2,894,3,Semi-Furnished,Medium,7.0,0,No,Yes,148.22,0
Jaipur,Apartment,2,825,36,Unfurnished,Medium,2.0,6,No,Yes,27.25,1
Bangalore,Apartment,3,1305,16,Unfurnished,Medium,3.0,1,No,No,113.18,1
Jaipur,Apartment,2,1147,38,Unfurnished,High,2.0,5,No,Yes,44.61,1
Pune,Apartment,3,1621,25,Unfurnished,Low,5.0,4,No,Yes,99.99,1
Mumbai,Villa,3,1445,38,Unfurnished,High,8.0,0,Yes,Yes,318.59,0
Jaipur,Apartment,3,1472,40,Unfurnished,High,7.0,1,No,Yes,38.24,1
Jaipur,Villa,3,1208,3,Semi-Furnished,High,9.0,1,No,Yes,66.68,0
Mumbai,Apartment,5,2192,29,Fully-Furnished,Medium,3.0,5,No,Yes,364.6,1
Pune,Apartment,2,915,29,Unfurnished,Low,1.0,0,Yes,No,58.8,1
Delhi,Apartment,3,1494,21,Semi-Furnished,Medium,,3,Yes,Yes,156.35,1
Jaipur,Apartment,2,742,10,Semi-Furnished,Medium,7.0,4,No,No,26.44,1
Mumbai,Independent House,2,821,1,Unfurnished,Low,10.0,1,No,Yes,168.33,0
Bangalore,Apartment,2,1007,11,Fully-Furnished,Medium,5.0,1,Yes,No,101.17,0
Mumbai,Apartment,4,1902,29,Semi-Furnished,Medium,,6,Yes,Yes,420.61,0
Bangalore,Independent House,3,1356,35,Unfurnished,High,8.0,6,Yes,Yes,103.33,1
Pune,Apartment,2,1014,17,Semi-Furnished,Low,0.0,5,Yes,Yes,84.34,0
Delhi,Apartment,3,1400,25,Unfurnished,Medium,8.0,0,Yes,Yes,178.23,1
Mumbai,Apartment,3,1264,6,,High,1.0,2,Yes,Yes,330.34,0
Indore,Apartment,2,1053,0,Unfurnished,High,0.0,8,No,No,38.04,1
Jaipur,Independent House,1,691,25,Fully-Furnished,High,7.0,0,Yes,Yes,32.4,0
Pune,Independent House,4,1825,22,Unfurnished,High,7.0,1,Yes,Yes,153.56,0
Mumbai,Independent House,3,1334,25,Semi-Furnished,High,10.0,7,No,Yes,261.81,1
Jaipur,Apartment,4,2119,5,Unfurnished,Medium,3.0,6,Yes,Yes,97.78,0
Mumbai,Apartment,3,1626,5,Semi-Furnished,Medium,,8,Yes,Yes,390.35,0
Bangalore,Villa,3,1471,7,Semi-Furnished,Low,6.0,3,Yes,No,123.17,1
Mumbai,Apartment,2,1076,23,Semi-Furnished,Low,1.0,3,Yes,Yes,227.22,0
Indore,Apartment,2,812,21,Semi-Furnished,Low,4.0,6,No,No,18.53,1
Mumbai,Apartment,2,1163,18,Semi-Furnished,Low,9.0,0,No,No,162.25,1
Mumbai,Apartment,2,800,36,Fully-Furnished,Medium,3.0,8,Yes,No,130.57,1
Indore,Apartment,3,1510,17,Semi-Furnished,Low,2.0,1,Yes,Yes,56.39,0
Pune,Independent House,4,1903,30,Fully-Furnished,Low,0.0,0,Yes,Yes,125.15,1
Mumbai,Independent House,2,1146,36,Fully-Furnished,High,4.0,6,No,Yes,191.12,1
